author,published_at,like_count,text,is_reply
@franky__a,2025-08-13T09:50:28Z,21,우리 윤아 배우님이 천사처럼 너무너무 예뻐요 🥹🤍 &#39;폭군의 셰프&#39; 대박나자! ✊️,False
@배추살땐무도사,2025-08-13T09:49:45Z,186,평소보다 입꼬리와 눈꼬리가 이븐하게 크로스하는 안 솊이면 개추 ㅋㅋㅋㅋㅋ,False
@Dlehdrb1127,2025-08-13T10:34:21Z,18,와이프 때문에 활짝 못 웃으면 한번더 개추ㅋㅋ,True
@jmjmjmjmjmh,2025-08-13T10:53:16Z,2,나 안성재 입꼬리인데 개추눌렀더,True
@zu2hzmdj,2025-08-13T10:53:39Z,3,시원하게 못 웃는것까지 너무 웃김ㅋㅋ,True
@pegansurun,2025-08-13T11:16:11Z,0,어허..!,True
@나를구독해,2025-08-13T11:27:54Z,0,지금쯤 와이프분한테 털리고있을 안솊 ..,True
@김민환-m4n,2025-08-13T09:48:10Z,5,오오 윤아다...😊 이제 안성제 솁도 냉부 함 나가야죠.😂,False
@허니-op9bc9oe1r,2025-08-13T09:48:05Z,41,그냥 졸라 이쁘다,False
@인생은등가교환-i7v,2025-08-13T09:47:44Z,5,윤아 이제 23살처럼 보이네,False
@eva-rei,2025-08-13T09:47:40Z,31,점점 성재형의 진행력이 올라가는 게 보여서 재밌음,False
@t1_keria,2025-08-13T09:47:31Z,15,윤아 출연 굿,False
@진실을,2025-08-13T09:45:53Z,2,11,False
@bluecosmos8787,2025-08-13T09:45:22Z,2,❤,False
@김영진-w1x5m,2025-08-13T09:45:20Z,4,캬,False
@별몽EEE,2025-08-13T09:45:18Z,2,오ㅓㅏ,False
