author,published_at,like_count,text,is_reply
@Rio_Hamasaki_forever_love,2025-08-18T16:32:40Z,0,"​@@suchanx7<br>아~ 말씀 해주신 음식점 , 제조업 일은 꽤 오래 해봤습니다 숙박업은 안해봤네요 <br>프차카페 , 샌드위치 프차 , 빙수 프차  외국 아이스크림 프차 , 디저트 프차 <br>이런데는 특히 경험자를 찾아요<br>도대체 무슨 대단한 일을 하길래 경험자를 찾냐고. 근무조건에 자격증 있는 사람만 지원 하라고 하면 지원 자체를 아애 안합니다  <br>지들이 원두를 직접 사오길하나  과일도 다 냉동에 다 싼재료로 만들면서 무슨 <br>샌드위치도 지들이 햄이랑 다른재료들을 직접 만드나??  다 받아쓰는 것들이 글쓰면서 진짜 존나 열받네요<br>빙수도. 아이스크림 전문점도 <br>다 본사에 받아서 손님한테 주는거면서 <br>무슨. <br>누가 보면 그분야 장인들이 만드는 건줄 알겠네 <br>모든재료를 수제로 하진 않겠지만 그나마 몇가지라도 직접 수제로 만드는 거라면 저를 채용 안하는 걸 인정합니다<br>그분야에 자격증이.있어야 되고 그분야에 어느정도 지식이 있어야. 일을 할 수 가 있으니깐요<br><br>음식점 주방일 , 공장 제조업에 비하면 솔직히 어려울 것 같지도 않은데<br>처음에는 안 해본 일 이니깐 존나 얼 타 겠지만 어린애들도 다 하는 일을 못 할리가 없죠 안 힘들거란 마음가짐 없이 일자리를 구하지 않습니다 개고생 할 마음 먹고 지원하는거죠<br>그런데 이것들이 아애 시도 자체를 못하게 하니깐 <br>그게  존나 열 받더라구요<br><br>근무조건에 여자 대학생만 , 여자 휴학생만 25살이하만  이라고 써놓던가<br>나이 성별 학력 다 상관없고 초보가능이라고 쳐써놓고  <br>뽑지도 않고 또 면접 끝나고 연락 준다더니 연락 없고. 나중에 보니 <br>여자들만 뽑고 또 알바들 일 못한다고 끈기 없다고 손 느리다고 존나게 투정해요 쌤통이다 고문관 만나서<br>글 쓰다 보니깐 너무 길어졌네요ㅠㅠ<br>죄송합니다ㅠㅠ<br>하도 당한게 많아서요ㅠㅠ<br>열받아서 글을 이렇게 썼지만 하루하루 열심히 살아가고 있는 사람입니다^^<br>화이팅 하겠습니다❤️❤️",True
@씨발쫒같은한국,2025-08-18T11:11:01Z,5,구직글에 전부 노예구하냐고 저돈받고 누가 일하냐고 욕하고 가스라이팅 했으면서 이젠 쉰다고 욕하냐? 모순모순 이정도면 정신병자들이지 사람 아니다,False
@버블-k5b,2025-08-18T11:41:28Z,1,ㄹㅇ 진짜 개빡침,True
@lsi-x6g,2025-08-18T11:04:13Z,3,고용유연화해야 사회초년생들이 첫발이라도 디딜수 있는데...귀족노조들이 자리차지하고 안비켜주니 답이 없지...자기들만 고용보장...,False
@광개토대왕-k1h,2025-08-18T10:54:14Z,4,노인들이 자리를 비켜줘야하는데 이와중에 더 해먹겠다고 정년연장해달라고 조르니 말이 되나,False
@snlwmz,2025-08-18T10:57:40Z,0,이제 저희필요없으시죠?😢 😢<br>알겟어요 삼촌 이제 저희 일안하고<br>떠날게요 그냥😢,True
@김대경-r7g,2025-08-18T10:52:32Z,1,부모집이 십억이넘는데  뭔일,False
@sunglee8608,2025-08-18T10:49:15Z,0,거기 갈바엔😢,False
@다이나핏-j2o,2025-08-18T10:45:00Z,12,부모가가오냐오냐  키우니 이사단이 나지,False
@suchanx7,2025-08-18T15:09:08Z,0,부모들은 자식들더러 막 대단한 사람이 될것처럼 최면 걸면서 키우는데 막상 자기들이 커 보니 범인도 못 된거야.<br>그러니 &quot;하찮은&quot; 직종이 걔네들 눈에 차겠어?,True
@헬조센,2025-08-18T10:30:15Z,1,모든게 끝이야😢..,False
@연승신-c1l,2025-08-18T10:29:00Z,3,거기 갈바엔이 아니라 거기가 딱인거야,False
@김전진-j4m,2025-08-18T10:25:42Z,0,세훈이형 오늘 결혼이 싸다? 그럼 오늘 결혼하는 사람들은 싸다결혼이네? 말하는 사람이나 듣는 사람이나 억울하고 불쌍한데 근본 원인이 뭔지 알어?,False
@wj6088,2025-08-18T10:17:18Z,0,그래 쉬면 기회가 와도 공백기 있는넘 보단 중소라도 경력 있는 사람 뽑는다..,False
@내다리치킨,2025-08-18T10:14:57Z,0,거기도안가면 걍 사람취급도못받는거지ㅇ,False
@hyochulahn1015,2025-08-18T10:13:03Z,2,아니 근데 ㅋㅋㅋㅋ 그들도 본인을 안뽑아줄텐데 자기합리화 오지네 ㅋㅋㅋㅋ,False
@dsakfjlsk,2025-08-18T10:12:16Z,1,나라에서 돈을 그냥 주니까 일할 필요가 없죵 ㅋ,False
@박상훈-q5r,2025-08-18T10:08:06Z,0,일짜리 잇어야찌 일을하찌,False
@dibqi,2025-08-18T10:06:06Z,0,이게다 내란빨갱2찍이 멧뙈지를 찍어서다.,False
@신이신이-h8g,2025-08-18T10:05:37Z,1,일 안해도 돈 주니...,False
@guaaaak,2025-08-18T09:56:33Z,1,정부에서 노력하지말고 저런애들은 그냥 도태되도록 냅둬야함. 자꾸 그냥 무직백수를 당연한 사회현상인마냥 부추키는 사회하고 언론 예능이 젤 문제임. 걍 냅둬라 알아서 겨나오게. <br>안나오면 안나오는대로 거기에 걸맞게 바꾸면됨. 솔직히 당장 편의점 알바하는거만 봐도 답없더라. 존심만 개쌔가지고; 차라리 노인이나 아줌마 알바가 훨씬 편하고 일도 잘함.,False
@davidpark5840,2025-08-18T09:52:48Z,15,연봉 1억이 세금 때면 손에 쥐는게 <br>월 640임.<br>연 7700이고.<br>월급쟁이 거기서 거기야.<br>무슨 회사든간에 일찍 시작해서 경력공백없이 오래해야 되는거지<br>연봉 높고 낮은게 중요한게 아니라<br>신입 때는 빨리 취업을 해야지<br>안 그러면 평생 백수로 늙음<br>그게 얼마나 무서운건지 애들이 모르는거지<br>인간 쓰레기 되는건데<br>아무 짝에도 쓸모없는 인간으로 살다 죽는다고,False
@내맘대로-h5c,2025-08-18T10:32:58Z,1,정말 맞는말이네요.무슨 일이든 일찍 오래죠.생각잘못하면 진짜 백수 각입니다,True
@여행마니아-t9e,2025-08-18T14:05:21Z,0,대기업은 우리사주라도 줘서 올라갈 부라도 기회가 있는거에요 뭘 거기서 거기여 부모님이 주당 5천원에 매입한  LGCNS에서 받은 우리사주 지금 시세로 4억원 정도 함,True
@CB-oo3od,2025-08-18T09:48:06Z,0,더불어가난한당~돈 주지 마라.,False
@davidpark5840,2025-08-18T09:47:55Z,1,신입 애들한테 기회를 줘야지<br>맨날 경력만 찾으니 그런거지<br>노땅들은 용퇴해야 되는거고 <br>지들끼리 다 해처먹고 신입 안 받으면 결국 나라 망하는거지,False
@fun-world-human,2025-08-18T09:42:34Z,0,"우리나라 기업들 대부분이 입사일부터 어떻게든 뜯어먹으려고 사람을 죽일려고 함. 인신공격은 기본, 쌍욕까지.",False
@홍원문,2025-08-18T09:42:14Z,1,저른것들배가부르나한심하다,False
@kolor9648,2025-08-18T09:40:41Z,0,ㅋㅋㅋ 해고제 좀 만들자 나와야 들어가지 너네가 꽉 막으면 답고 없어,False
@정성철-z6d,2025-08-18T09:35:10Z,0,노조 때문에 대기업들 다들 외국으로 가는데 젊은이가 일자리 있겠어,False
@0gujjang187,2025-08-18T09:32:05Z,0,그냥 사회가 이상해 졌음 배려 양보가 없는 세상이 만들어짐,False
@김정호-j7g,2025-08-18T09:25:31Z,2,삼천교육대 부활시켜서 정신교육시켜야함,False
@멀뚱멀뚱해,2025-08-18T10:03:29Z,0,삼천교육대 부활해야해 정부 청소년 지원 다 없야 버리고  쉬는아들 세금 존나 때려 버려야함,True
@ssg50889,2025-08-18T09:22:58Z,0,저거 생각보다 심한게 알바 계약직 공시생 제외하고 저정도임ㅋㅋㅋ,False
@바라던바-z9k,2025-08-18T09:22:03Z,0,실제 일한 느낌 4백만원<br>실제 받는 돈은 2백~3백만원,False
@연승신-c1l,2025-08-18T10:33:36Z,0,그럼 회사도 남겨먹어야지 4백만원어치 일시키고 4백만원주면 회사는 뭐 자선사업이냐,True
@user-xq7on1bk6m,2025-08-18T12:27:19Z,0,돈 문제 아니야 일단 사람에서 오는 스트레스가 심하다 핵가족 1인가구화 가 진행되면서 혼자 있는 시간이 많이지면서 사람하고 같이 있는게 점점 스트레스 받는게 심해지는거야,True
@이천희-d3o,2025-08-18T12:34:12Z,0,실제로 매출15억회사 인원 10명대임 1명당 1억분은 하는거임,True
@바라던바-z9k,2025-08-18T12:43:33Z,0,​@@연승신-c1l 그니까 안하지ㅋ,True
@hotzg216,2025-08-18T09:20:49Z,0,현대노조 천천히 짜르고 청년들 넣어보자,False
@김민기-g7l5c,2025-08-18T09:09:18Z,0,일자리가 없다 큰일이네,False
@세종랜드,2025-08-18T09:06:33Z,0,"대학진학율 80%이상 만들어 놓고 학생들 상대로 등록금,원룸,술장사하고 똥통학교에 일자리도 생기고, 아주 꿀 잘 빨아왔지? 나라는 망가져 가는지도 모르고 말야.",False
@옌조-q6z,2025-08-18T09:05:54Z,0,노란봉투법 등으로 사업을 할 수 있겠나요.? 그리고 사교육비 억단위 들여 스카이 보냈는데 이 눈높이 아이들과 부모들이 대기업 외 눈에 차겠나요?,False
@Rooloobary,2025-08-18T09:03:57Z,2,배때지가 불렀다고 하는 애들은 진정한 중소를 안가봤거나 가서 일해도 정신승리하는 애들일거야 에혀,False
@태평성대한국,2025-08-18T09:48:13Z,0,배때지가 불렀어. 아주 불렀어,True
@김경환-q3o,2025-08-18T09:00:36Z,0,좃소 가봐야 패밀리에 치인다,False
@김경환-q3o,2025-08-18T08:59:17Z,24,놀고 있으면 돈을 주니 그렇지,False
@김민수-p3j,2025-08-18T08:49:10Z,0,3D업종 해봐라!! ㄹㅇ 이짓거리해야되나     생각이들거다!! 준설차.똥차.음식물쓰레기차 포괄임급제해서 300에서320주더라!! 토요일이랑추석.설날당일빼고 풀가동 연차없음!!  미친거지 ㅋㅋㅋ 시간이라도 지켜주던가 그딴것도없다!! 댓글다는애들 제발해보고 3D직종 이야기좀해라!!,False
@전과4범구속수사,2025-08-18T08:46:56Z,0,전과4범을 과소평가하네<br>국가 재건 노가다에 노는 2030 강제노동 시키고도 남을 개가<br>전과4범 좌빨양아치죄맹 ㅋㅋㅋ,False
@whffuqek,2025-08-18T08:42:22Z,39,"청년들이 쉬었다는 것만 강조하지 말고 얼마나 중소기업 환경이 열악한지를 보도해라... <br>신입은 안 뽑고 경력만 뽑고, 경력마저도 경력 깎고, 연봉 제대로 안 주는 데가 중소기업 80퍼다.<br>물론 기사 내용은 그게 아니지만 타이틀만 보고 맥락 파악 못하고 청년들 탓만 하는 빠가 댓글들이 너무 많네. <br>또 쉰 청년들이 그냥 쉰게 아니라 아마 회사 취직했다가 데여서 나온 경우도 많을텐데, 타이틀을 잘 골라야할 듯.<br>세상에 일을 안 가르쳐줘도 다 할줄 아는 신입을 뽑는 사회라니..., <br>또 취업하면 끝도 아니다. 못된 인간들 너무 많지. 사회가 너무 삭막하다.",False
@철아우야축제가자-kor,2025-08-18T14:00:57Z,0,중소기업은 옛날도 열악했다 옛날엔 정규직만 유급줬다면 지금은 많이 바겼지 않냐? 기업은 뭐 땅팔아서 경영하냐? 뭐때매 나가고 뭐때매 나가고 해줘식인데 나같음 국내서 경영안하고 해외나가서 경영하겠다 뭐좋다고? 아니 아예 안건드리고 있는돈으로 먹고사는게 훨더 편안할듯 그리고 누구정부때 최저임금 급격하게 올라서 어떻게 됬지? 자영업 역대급폐업율이다 전국어딜가도 곳곳에 문닫은가게가 어마어마하다 해봤자 남는게 없거든 왜 빚내서 경영하겠냐 가만있음 반이라도 가는데 누가 이렇게 만들었는데?,True
@여행마니아-t9e,2025-08-18T14:06:32Z,0,확실한건 정권 따라서 이런 실업자 뉴스도 분위기가 다르네. 윤석열 정권만 해도 청년탓으로 돌리던 인간들 많았는데 이젠 사회적 현상?,True
@미러클데이,2025-08-18T15:36:36Z,1,중소갈실력을 인정못하고 대겹과비교하니 못가는거,True
@CityS-k4k,2025-08-18T08:41:34Z,0,일자리상황판 만들었다던 문재인씨 어디잇노,False
