author,published_at,like_count,text,is_reply
@얼짱12,2025-08-18T15:00:41Z,0,저런게  대통령이었다니  빵에서 펑생써거야,False
@유흥민,2025-08-18T15:00:24Z,1,판사새기도 나쁜놈이네,False
@blacksunstudio6278,2025-08-18T15:00:12Z,0,어디서부터 얼마나 썩은거냐,False
@고려은단-t8g,2025-08-18T15:00:11Z,0,강훈 말대로 선을 넘는 보도하는 조센일보는 폐간이 정답이네 ㅋㅋㅋㅋ,False
@얼짱12,2025-08-18T14:58:46Z,0,윤서결   지가 죄를 저질러 놓고,False
@이문숙-n8h,2025-08-18T14:58:24Z,0,이사건이 소송할 일인지 ...언제부터 우리나라가 매번 소송으로 문제해결하는 국가가 됬을까.이런문제를 타협을 못한다는게 큰 사람이 없는듯.,False
@ziiz9499,2025-08-18T14:56:57Z,0,내란동조자들이지.. 엄벌하라,False
@OneRepublicc-x1y,2025-08-18T14:56:51Z,0,성지호 판사는 귓구녕이 막혔냐????,False
@user-ew1xy1rl8u,2025-08-18T14:52:43Z,0,자기 얼굴에 붙어있는 입으로 한 말은<br>분명히 바이든이었는데  왠 날리면이라니  낮술 처 드시고 아무생각없이 씨부린넘이 책임져야지,False
@아우토반-s8r,2025-08-18T14:49:12Z,0,내란정권의 범죄자들  한놈도  놓치지 말고  다 잡아들여야 한다.<br>나라를 망하게 하려다 국민들이 들고일어나 탄핵을 외치자  국가반란까지 일으켜  국민들에게 총을 겨눈 사악한 반국가정권<br>이제  그동안 벌어졌던 국정농단 수사도  강력하게 펴야 한다.<br>국가반란죄 심판은 당연히 혹독하게 처단하고 <br> 다른 국정농단 부패범죄들도 봐주고 덮으려 하지말고  전부 찾아내서 응징을 해야 된다.<br>국가시스템이  전부 무너져 내린 3년이었다,False
@언론개혁검찰개혁.데,2025-08-18T14:48:02Z,0,"💢 좋빠가   정권당시  ,,  오징어껨    흥행으로      <br>      넷플회장  방한이   있었지요 ,,,   <br>💢  공직자  신분으로     내부자정보 ,   사전정보 악용       <br>       주식투자   부를  축적  하셨던분들     반드시    조사가  필요합니다   !!!!    특히  ,,,      !!!!    특히  ,,,   당시  좋빠가  💢 아가리혀도     !!!!    필히    조사   하시길  !!!!",False
@동진김-h6b,2025-08-18T14:47:22Z,0,사실 이게 말이 안된다 무슨 판독불가야 어디 감정소인지 모르지만 만약 진짜 판독 불가면 때려쳐라 니들이 무슨 전문가냐 내귀엔 너무 또렸한데 그게 판독 불가냐 판독불가라고한 전문가 새끼들이나 판독불간데 사과하라고한 법원이나 그런식으로 할거 같으면 죄안되는게 어딨냐 완전히 원님재판이다 원님 마음대로 죄가 됐다 안됐다 아러면서 사법부의 독립성 운운하면서 지들 기득권에만 관심있는 몰염치의 끝판왕들 법원이 아니라 복마전이다,False
